LOGINID,OUTLETCODE,TOTAL_ORDERS,ORDERS_AND_(SALES_OR_RECOMMENDATION),TRENDING_IN_ORDERS,TRENDING_IN_RECOMMENDATIONS,TOTAL_RECOMMENDATIONS,MATCHED_TRENDING_RECOMMENDATIONS,PRINCE_RATIO,VANSHIKA_RATIO,HARSH_RATIO
DSR-SPT-NCR-530,PS010552,5,1,0,0,7,0,0.0,0.0,1.0,
DSR-PUNJ-354,PH058878,3,2,2,0,10,0,0.0,100.0,1.0,
DSR-KNUC-430,PH102810,4,4,0,1,10,0,0.0,0.0,1.0,
DSR-GT-MUM-702,PH084590,5,2,0,0,7,0,0.0,0.0,1.0,
DSR-GT-PUNE-779,PH057727,3,3,2,4,5,2,100.0,66.66666666666666,0.0,
DSR-MUM-255,DS018837,7,4,4,4,7,4,100.0,100.0,1.0,
DSR-MUM-302,PH064313,3,2,2,4,5,2,100.0,100.0,1.0,
DSR-HAR-028,PH126438,4,4,2,4,6,2,100.0,50.0,1.0,
DSR-ROM-412,DS014620,2,1,1,3,5,0,0.0,100.0,1.0,
DSR-MUM-132,PH013502,2,2,1,2,7,1,100.0,50.0,1.0,
DSR-SPT-MUM-650,PS019790,5,2,0,5,12,0,0.0,0.0,0.0,
DSR-KER-293,DS013734,9,5,1,4,11,1,100.0,20.0,0.0,
FSA-SPT-BGLR-043,PS009656,2,1,0,3,6,0,0.0,0.0,0.0,
DSR-NCR-032,PH082037,7,6,0,5,5,0,0.0,0.0,1.0,
DSR-MUM-130,PH022832,27,14,3,5,14,3,100.0,21.428571428571427,0.0,
DSR-SPT-NCR-630,PS001782,4,2,0,0,5,0,0.0,0.0,1.0,
DSR-CMN-HAR-634,PH026885,2,2,0,0,10,0,0.0,0.0,1.0,
DSR-CMN-KER-770,PH113724,3,3,1,4,6,1,100.0,33.33333333333333,0.0,
DSR-GUJ-120,PH116181,1,1,0,3,5,0,0.0,0.0,0.0,
DSR-ROM-409,PH040660,1,1,1,1,2,0,0.0,100.0,1.0,
DSR-NCR-160,MGH000507,7,5,0,2,10,0,0.0,0.0,0.0,
DSR-GOA-153,TG023590,1,1,0,2,5,0,0.0,0.0,0.0,
DSR-GT-MUM-759,PH076008,13,4,1,1,10,0,0.0,25.0,1.0,
DSR-KNUC-430,PH103078,3,2,1,1,10,0,0.0,50.0,1.0,
DSR-CMN-MPC-784,PH066541,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-CMN-MPC-784,PH110325,2,2,2,2,5,2,100.0,100.0,1.0,
FSA-CMN-PUNJ-038,PS012482,10,7,3,5,8,3,100.0,42.857142857142854,1.0,
DSR-CMN-MUM-708,DS019363,3,2,0,4,8,0,0.0,0.0,0.0,
DSR-GOA-153,TG018732,3,3,3,3,5,2,66.66666666666666,100.0,1.0,
FSA-SPT-BGLR-041,PS000109,24,12,3,3,8,3,100.0,25.0,1.0,
DSR-CHN-442,DS005421,5,4,1,4,9,1,100.0,25.0,0.0,
DSR-GT-UK-795,DS006142,9,5,0,1,5,0,0.0,0.0,0.0,
DSR-CMN-KER-563,MGS006734,9,9,2,4,11,2,100.0,22.22222222222222,0.0,
DSR-APUC-193,PS010394,5,2,0,5,7,0,0.0,0.0,0.0,
DSR-CMN-TN-474,PS022783,10,7,2,4,21,2,100.0,28.57142857142857,1.0,
DSR-CMN-PUNJ-490,PH118121,4,4,3,4,6,3,100.0,75.0,1.0,
DSR-W/UP-245,TG006444,2,1,1,2,5,1,100.0,100.0,1.0,
FSA-SPT-MUM-103,PS003572,23,2,1,4,5,1,100.0,50.0,1.0,
DSR-KNUC-276,PH029754,7,2,2,5,5,2,100.0,100.0,1.0,
DSR-GOA-441,PH051245,4,2,0,0,6,0,0.0,0.0,1.0,
DSR-CMN-PUNJ-490,PS012373,10,7,4,4,5,3,75.0,57.14285714285714,1.0,
DSR-GT-MUM-793,PH131146,20,9,2,4,13,2,100.0,22.22222222222222,0.0,
DSR-BGLR-398,PH001112,8,6,3,5,5,3,100.0,50.0,1.0,
DSR-NE-275,PH117454,3,3,1,2,5,1,100.0,33.33333333333333,1.0,
DSR-CMN-KER-641,PH058239,5,5,3,4,11,2,66.66666666666666,60.0,1.0,
FSA-SPT-CHN-047,PS009596,6,2,0,4,9,0,0.0,0.0,0.0,
DSR-MPC-376,PH097536,3,1,0,1,2,0,0.0,0.0,0.0,
DSR-KNUC-088,PH009894,6,4,3,4,5,2,66.66666666666666,75.0,0.0,
DSR-BGLR-092,SM001608,9,5,2,4,15,2,100.0,40.0,1.0,
DSR-GT-MUM-793,TG000640,5,3,0,2,7,0,0.0,0.0,0.0,
DSR-CMN-KNUC-473,DS022141,4,3,1,4,10,1,100.0,33.33333333333333,0.0,
DSR-GT-MUM-525,MGS07894,8,5,3,4,10,2,66.66666666666666,60.0,1.0,
DSR-MPC-376,PH056401,2,2,1,4,5,1,100.0,50.0,0.0,
DSR-CMN-ROE-558,TS000541,1,1,1,5,5,1,100.0,100.0,1.0,
DSR-CMN-EUP-733,PH036706,2,2,2,1,4,1,50.0,100.0,1.0,
DSR-GT-MUM-656,PH059841,4,4,4,4,5,4,100.0,100.0,1.0,
DSR-KER-068,PH052838,6,5,1,3,6,1,100.0,20.0,0.0,
FSA-SPT-MUM-063,PS000307,19,2,0,5,5,0,0.0,0.0,1.0,
DSR-GT-DEL-783,PH126579,2,1,1,0,4,0,0.0,100.0,1.0,
FSA-CMN-BGLR-109,CL004244,51,11,0,4,7,0,0.0,0.0,0.0,
DSR-ROE-298,PS009788,1,1,1,3,5,0,0.0,100.0,1.0,
DSR-MUM-134,PH028960,7,4,0,4,8,0,0.0,0.0,0.0,
DSR-KER-293,PH023938,4,3,3,4,14,3,100.0,100.0,1.0,
DSR-CMN-PUNJ-490,PH013406,3,3,2,3,5,2,100.0,66.66666666666666,1.0,
DSR-ROM-143,MGS08446,10,6,0,0,6,0,0.0,0.0,1.0,
DSR-GUJ-122,PH022539,2,2,1,3,5,0,0.0,50.0,0.0,
DSR-BGLR-094,PH007489,4,3,2,4,5,2,100.0,66.66666666666666,0.0,
DSR-ROM-207,PH053538,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-CMN-EUP-668,PH066842,1,1,1,1,5,1,100.0,100.0,1.0,
FSA-GT-HYD-009,WP002261,2,1,1,4,6,1,100.0,100.0,1.0,
DSR-PUNJ-418,PH030118,1,1,1,4,5,0,0.0,100.0,1.0,
DSR-CMN-KER-638,MGS07804,9,1,0,2,5,0,0.0,0.0,1.0,
DSR-GT-PUNJ-726,PH005816,2,2,0,3,5,0,0.0,0.0,0.0,
DSR-GT-GOA-566,DS014872,6,2,0,4,8,0,0.0,0.0,0.0,
DSR-GT-MUM-526,DS007698,6,3,2,5,5,2,100.0,66.66666666666666,1.0,
DSR-MUM-130,TG000924,1,1,1,4,8,0,0.0,100.0,1.0,
DSR-NCR-328,DS009200,5,2,2,4,6,2,100.0,100.0,1.0,
DSR-MUM-291,PH065196,4,3,2,5,6,2,100.0,66.66666666666666,0.0,
DSR-MPC-407,PH107591,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-ROM-215,PH087812,11,7,3,5,9,3,100.0,42.857142857142854,0.0,
DSR-W/UP-176,PH032777,2,1,1,1,2,1,100.0,100.0,1.0,
DSR-KOL-335,PS004171,1,1,1,5,6,1,100.0,100.0,1.0,
DSR-APUC-193,PS008193,3,2,2,5,5,2,100.0,100.0,1.0,
DSR-GT-AP-479,PH098446,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-ROM-215,PS005051,20,12,1,4,24,1,100.0,8.333333333333332,0.0,
DSR-SPT-GUJ-512,PS013009,30,11,4,4,10,4,100.0,36.36363636363637,1.0,
DSR-CMN-PUNJ-490,PH020433,4,3,0,3,5,0,0.0,0.0,0.0,
DSR-CMN-MPC-784,MGS09095,2,1,1,1,1,1,100.0,100.0,1.0,
DSR-GT-DEL-783,PH005025,12,9,4,5,11,4,100.0,44.44444444444444,1.0,
DSR-MPC-376,PS012885,3,1,0,5,6,0,0.0,0.0,0.0,
DSR-CMN-KER-741,PH028678,2,2,0,4,6,0,0.0,0.0,1.0,
DSR-BGLR-083,PH083764,4,4,2,4,8,2,100.0,50.0,1.0,
DSR-KER-068,PH087086,3,3,1,4,5,1,100.0,33.33333333333333,0.0,
DSR-CMN-KNUC-555,PH053489,1,1,1,1,2,1,100.0,100.0,1.0,
DSR-KER-343,DS011044,11,9,3,3,10,3,100.0,33.33333333333333,1.0,
DSR-GT-PUNE-779,PH003936,2,2,2,4,6,2,100.0,100.0,1.0,
DSR-CMN-HAR-797,CL001367,16,5,0,2,5,0,0.0,0.0,0.0,
DSR-GOA-153,TG023855,4,4,2,1,6,1,50.0,50.0,1.0,
FSA-CMN-ROE-095,PH113217,1,1,1,0,1,0,0.0,100.0,1.0,
DSR-WUP-393,PH086302,1,1,0,1,5,0,0.0,0.0,0.0,
DSR-GT-UK-593,WP000944,13,10,3,5,6,3,100.0,30.0,0.0,
DSR-NCR-036,PH049645,4,1,0,4,5,0,0.0,0.0,1.0,
DSR-ROE-439,TG021081,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-SPT-GUJ-605,PS003972,15,8,1,4,12,0,0.0,12.5,0.0,
DSR-TNUC-312,PS022917,16,6,1,0,24,0,0.0,16.666666666666664,1.0,
DSR-MPC-376,PH044736,3,3,2,4,4,2,100.0,66.66666666666666,1.0,
DSR-GT-PUNE-779,PH096590,3,2,1,4,5,1,100.0,50.0,1.0,
DSR-MUM-255,PH028658,10,4,2,5,10,2,100.0,50.0,1.0,
FSA-SPT-NCR-019,PS004355,7,2,1,4,6,1,100.0,50.0,0.0,
DSR-MUM-315,PH088555,8,5,0,5,11,0,0.0,0.0,0.0,
DSR-GT-GOA-478,TG011218,1,1,1,1,5,0,0.0,100.0,1.0,
DSR-GUJ-151,PH113504,1,1,0,3,5,0,0.0,0.0,0.0,
DSR-NCR-154,WP000341,13,8,4,4,7,4,100.0,50.0,1.0,
DSR-CMN-PUNJ-788,PH100205,4,3,1,0,1,0,0.0,33.33333333333333,1.0,
DSR-KNUC-304,DS015221,3,1,0,0,4,0,0.0,0.0,1.0,
DSR-KER-355,PH028692,3,2,1,5,9,1,100.0,50.0,0.0,
DSR-CMN-ROM-591,PH065906,1,1,1,5,14,1,100.0,100.0,1.0,
DSR-GT-WUP-667,WP002606,2,2,0,3,8,0,0.0,0.0,1.0,
DSR-GOA-153,TG022221,1,1,0,3,5,0,0.0,0.0,0.0,
FSA-SPT-PUNE-066,PS000359,2,2,0,0,21,0,0.0,0.0,1.0,
DSR-KER-352,MGS01393,3,1,0,1,5,0,0.0,0.0,1.0,
DSR-CMN-KER-741,MGH000384,10,6,1,4,17,0,0.0,16.666666666666664,0.0,
DSR-NCR-154,WP002692,4,3,2,4,5,2,100.0,66.66666666666666,1.0,
DSR-SPT-TN-510,PS012474,6,3,2,4,11,2,100.0,66.66666666666666,1.0,
DSR-ROM-216,PH093657,3,3,2,2,5,2,100.0,66.66666666666666,1.0,
DSR-CMN-KER-826,MGS08737,1,1,0,2,5,0,0.0,0.0,1.0,
DSR-GT-PUNE-779,PH116143,3,3,2,4,8,2,100.0,66.66666666666666,1.0,
DSR-KER-343,PM000937,5,2,0,1,10,0,0.0,0.0,0.0,
DSR-GT-MUM-683,PH103525,3,3,0,1,5,0,0.0,0.0,0.0,
DSR-UP-344,PS006958,1,1,0,0,5,0,0.0,0.0,1.0,
DSR-GT-PUNJ-726,DS001408,3,2,1,4,5,1,100.0,50.0,0.0,
DSR-ROE-446,PH113887,3,3,2,4,5,2,100.0,66.66666666666666,0.0,
DSR-CMN-KNUC-640,PH058972,6,5,5,5,5,5,100.0,100.0,1.0,
DSR-APUC-218,PH035931,2,2,2,2,5,2,100.0,100.0,1.0,
DSR-MP-288,PH103553,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-GT-PUNE-706,PH042274,9,8,3,4,9,2,66.66666666666666,37.5,0.0,
DSR-MUM-127,PH030337,28,6,0,5,8,0,0.0,0.0,0.0,
DSR-SPT-WP-594,PS001212,1,1,0,3,16,0,0.0,0.0,0.0,
DSR-CMN-EUP-668,PH060212,1,1,1,0,5,0,0.0,100.0,1.0,
DSR-ROE-272,PH127519,2,1,0,1,2,0,0.0,0.0,0.0,
DSR-W/UP-443,PH063097,1,1,0,1,5,0,0.0,0.0,1.0,
DSR-MPC-268,TS001270,2,2,1,4,5,1,100.0,50.0,0.0,
DSR-GUJ-387,PH085777,2,2,0,3,5,0,0.0,0.0,0.0,
DSR-E/UP-313,TG017217,4,4,2,5,6,2,100.0,50.0,0.0,
FSA-SPT-NCR-083,PS008346,23,7,4,4,10,4,100.0,57.14285714285714,1.0,
DSR-ROM-409,PH060891,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-NCR-160,DS013963,13,7,1,2,12,1,100.0,14.285714285714285,0.0,
DSR-KER-068,MGS006319,9,4,2,4,10,2,100.0,50.0,1.0,
DSR-MUM-291,PH115020,5,5,3,4,6,3,100.0,60.0,0.0,
DSR-KER-293,DS006095,6,3,1,5,6,1,100.0,33.33333333333333,0.0,
DSR-RAJ-229,PH030867,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-PUNE-141,PH003268,2,1,0,4,16,0,0.0,0.0,0.0,
DSR-CMN-ROM-591,TG019639,2,2,0,2,5,0,0.0,0.0,0.0,
DSR-CMN-ROE-558,PS010633,2,2,0,5,14,0,0.0,0.0,0.0,
DSR-MUM-315,PH002767,11,6,2,4,13,1,50.0,33.33333333333333,0.0,
DSR-RAJ-229,DS020714,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-CMN-ROE-686,PH066854,2,2,2,3,5,1,50.0,100.0,1.0,
DSR-RAJ-165,PS008240,9,4,1,4,5,1,100.0,25.0,1.0,
DSR-CMN-KNUC-555,PH109876,2,1,1,1,4,1,100.0,100.0,1.0,
DSR-CMN-PUNJ-519,PH013193,4,4,3,5,5,3,100.0,75.0,1.0,
DSR-MUM-132,PH109873,6,5,3,3,7,2,66.66666666666666,60.0,1.0,
DSR-GT-MUM-680,PH102143,2,2,1,4,5,1,100.0,50.0,0.0,
DSR-KNUC-088,PH041674,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-CMN-ROE-686,DS016341,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-GT-NCR-503,PH041808,6,4,0,4,6,0,0.0,0.0,0.0,
DSR-CMN-PUNJ-519,PH049131,4,4,4,5,5,4,100.0,100.0,1.0,
DSR-GT-NCR-503,PH089196,7,4,0,3,5,0,0.0,0.0,1.0,
DSR-CMN-RAJ-713,TG015339,1,1,1,2,5,0,0.0,100.0,1.0,
DSR-CMN-KER-770,PH124809,5,5,0,3,9,0,0.0,0.0,0.0,
DSR-CMN-ROE-758,DS012216,7,7,4,4,11,4,100.0,57.14285714285714,1.0,
DSR-ROE-272,PH121174,1,1,1,2,4,1,100.0,100.0,1.0,
DSR-CMN-AP-516,PS017948,2,1,1,5,16,1,100.0,100.0,1.0,
DSR-PUNE-139,PH053204,8,3,1,4,8,0,0.0,33.33333333333333,1.0,
DSR-CMN-AP-493,PH096454,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-KNUC-276,PH085359,4,4,4,5,7,4,100.0,100.0,1.0,
DSR-MPC-371,TG019188,1,1,1,3,4,1,100.0,100.0,1.0,
DSR-MUM-291,PH028843,9,6,3,4,8,3,100.0,50.0,1.0,
DSR-PUNE-139,MGS01060,5,2,1,4,8,1,100.0,50.0,1.0,
DSR-BGLR-084,PH059371,2,2,1,4,5,1,100.0,50.0,1.0,
DSR-GOA-153,PH042497,7,4,3,3,8,2,66.66666666666666,75.0,1.0,
DSR-MUM-132,PH011149,8,8,3,4,11,3,100.0,37.5,1.0,
DSR-PUNE-148,PH076615,6,6,4,4,5,4,100.0,66.66666666666666,1.0,
DSR-CMN-ROM-497,PH042977,6,3,1,1,5,1,100.0,33.33333333333333,1.0,
DSR-MUM-255,PH063330,26,10,4,4,14,3,75.0,40.0,1.0,
DSR-ROE-439,PS011815,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-GT-GOA-566,DS001502,3,1,0,4,5,0,0.0,0.0,1.0,
DSR-MUM-291,PH086965,3,1,1,3,5,1,100.0,100.0,1.0,
DSR-PUNJ-418,DS018593,1,1,1,4,6,0,0.0,100.0,1.0,
DSR-KER-391,PS013964,3,3,1,2,5,1,100.0,33.33333333333333,0.0,
DSR-GT-NCR-424,PH055818,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-MUM-291,PH086239,3,3,3,4,5,3,100.0,100.0,1.0,
FSA-SPT-CHN-048,PS004254,38,14,1,3,19,1,100.0,7.142857142857142,0.0,
DSR-UK-363,PS009107,32,7,1,5,7,1,100.0,14.285714285714285,0.0,
DSR-E/UP-159,MGS007337,3,3,1,3,5,1,100.0,33.33333333333333,0.0,
DSR-NCR-160,DS006814,10,8,0,2,21,0,0.0,0.0,0.0,
DSR-GT-WUP-661,TG004095,2,1,1,3,5,1,100.0,100.0,1.0,
DSR-GT-MUM-796,WP002151,17,14,5,4,11,4,80.0,35.714285714285715,1.0,
DSR-GT-MUM-702,PH047326,9,6,3,4,9,2,66.66666666666666,50.0,0.0,
DSR-NE-322,TG009122,1,1,0,4,5,0,0.0,0.0,0.0,
DSR-GT-WUP-667,DS001623,2,2,1,3,9,1,100.0,50.0,1.0,
DSR-GT-MUM-680,PH131325,6,2,2,0,10,0,0.0,100.0,1.0,
FSA-SPT-GUJ-071,PS020174,34,9,2,5,18,2,100.0,22.22222222222222,0.0,
DSR-CHN-442,PH060011,4,4,1,5,5,1,100.0,25.0,1.0,
DSR-GUJ-122,PH004587,5,5,3,4,12,2,66.66666666666666,60.0,1.0,
DSR-GT-DEL-783,PH111482,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-MP-146,CL003062,7,1,1,3,13,1,100.0,100.0,1.0,
DSR-CMN-TNUC-815,PH011302,12,7,1,4,7,1,100.0,14.285714285714285,0.0,
DSR-PUNE-140,PH032424,9,5,3,4,11,2,66.66666666666666,60.0,1.0,
DSR-CMN-PUNJ-788,PH030907,4,3,1,0,10,0,0.0,33.33333333333333,1.0,
DSR-CMN-KER-718,PH015947,6,4,0,3,5,0,0.0,0.0,0.0,
DSR-PUNE-141,PH034759,10,3,1,4,8,1,100.0,33.33333333333333,1.0,
DSR-CMN-UP-687,PH090196,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-CMN-ROM-777,PH086535,1,1,1,3,6,1,100.0,100.0,1.0,
DSR-MUM-130,PH119785,1,1,1,1,3,1,100.0,100.0,1.0,
DSR-GUJ-387,PH053082,1,1,1,5,6,1,100.0,100.0,1.0,
DSR-CMN-KER-588,PH054698,2,1,1,3,5,1,100.0,100.0,1.0,
DSR-MUM-315,DS009318,15,5,2,4,7,1,50.0,40.0,0.0,
DSR-CMN-KNUC-473,DS017478,6,6,4,4,8,4,100.0,66.66666666666666,1.0,
DSR-NCR-032,PH041850,2,2,2,5,10,2,100.0,100.0,1.0,
DSR-GOA-153,TG023751,2,1,1,2,5,0,0.0,100.0,1.0,
DSR-ROE-294,TG021305,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-CMN-EUP-668,PH066685,1,1,1,0,4,0,0.0,100.0,1.0,
DSR-NCR-032,PH042489,3,3,1,4,5,1,100.0,33.33333333333333,0.0,
DSR-HAR-220,PH066026,2,2,1,2,5,1,100.0,50.0,1.0,
DSR-ROM-178,PS013826,25,1,0,4,5,0,0.0,0.0,1.0,
DSR-MP-288,PH103559,4,4,2,2,5,2,100.0,50.0,1.0,
DSR-NE-275,PH053576,3,1,0,3,5,0,0.0,0.0,1.0,
DSR-PUNE-139,PH043151,5,1,1,2,5,1,100.0,100.0,1.0,
DSR-EUP-394,PH093894,3,3,1,5,5,1,100.0,33.33333333333333,1.0,
DSR-PUNE-141,PH104165,6,4,1,5,7,1,100.0,25.0,0.0,
DSR-UP-460,DS016693,7,4,1,4,8,1,100.0,25.0,0.0,
DSR-NE-322,PH032524,2,2,2,5,5,2,100.0,100.0,1.0,
DSR-MUM-127,PH060271,3,3,2,3,7,1,50.0,66.66666666666666,1.0,
DSR-UP-383,PH099181,2,1,1,3,5,1,100.0,100.0,1.0,
DSR-NCR-037,PH128919,1,1,0,4,4,0,0.0,0.0,1.0,
DSR-MUM-124,PH094279,2,1,0,3,5,0,0.0,0.0,0.0,
DSR-PUNJ-389,PS015205,1,1,0,1,24,0,0.0,0.0,1.0,
DSR-GUJ-120,PH110772,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-KER-293,MGS01871,5,5,4,5,10,4,100.0,80.0,1.0,
DSR-ROM-207,PH060018,1,1,0,4,5,0,0.0,0.0,0.0,
DSR-TNUC-310,DS022168,17,9,1,2,22,0,0.0,11.11111111111111,0.0,
DSR-CMN-MPC-784,TG023167,1,1,1,2,4,1,100.0,100.0,1.0,
DSR-ROM-135,PH043182,7,4,1,4,8,0,0.0,25.0,0.0,
DSR-CMN-ROE-498,PH124955,2,2,2,1,1,1,50.0,100.0,1.0,
DSR-KOL-335,PS004169,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-CMN-KNUC-473,CL002040,4,4,3,3,5,3,100.0,75.0,1.0,
DSR-BGLR-084,PH053939,1,1,1,5,9,1,100.0,100.0,1.0,
DSR-RAJ-428,PH033819,2,2,1,3,5,1,100.0,50.0,0.0,
DSR-CMN-ROE-758,MGS00514,1,1,1,4,7,1,100.0,100.0,1.0,
DSR-CHN-114,DS000603,19,10,1,4,23,1,100.0,10.0,0.0,
DSR-GT-MUM-518,TG000856,14,7,0,4,12,0,0.0,0.0,0.0,
DSR-ROM-216,PH038802,6,5,2,2,5,2,100.0,40.0,1.0,
DSR-GT-MUM-765,DS010520,6,4,2,4,16,2,100.0,50.0,1.0,
DSR-CMN-EUP-601,PS001260,2,2,0,0,5,0,0.0,0.0,1.0,
DSR-RAJ-428,PH112294,3,2,2,5,5,2,100.0,100.0,1.0,
DSR-MUM-133,PH002529,2,2,2,4,7,2,100.0,100.0,1.0,
DSR-HAR-028,PH053588,11,9,3,3,14,3,100.0,33.33333333333333,1.0,
DSR-CMN-MP-631,PH086371,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-GT-KER-500,PH116484,2,2,0,1,5,0,0.0,0.0,0.0,
DSR-CMN-KER-843,PH031565,4,3,1,0,2,0,0.0,33.33333333333333,1.0,
DSR-NCR-039,DS015466,2,2,1,4,5,1,100.0,50.0,1.0,
DSR-CMN-EUP-668,PH076200,1,1,1,1,5,0,0.0,100.0,1.0,
DSR-PUNJ-190,PH090298,3,2,2,3,5,2,100.0,100.0,1.0,
FSA-CMN-GUJ-074,PS000499,9,5,3,4,8,3,100.0,60.0,1.0,
DSR-NCR-039,MGS02323,3,1,1,2,5,1,100.0,100.0,1.0,
DSR-GT-NCR-857,PH108568,1,1,1,3,5,0,0.0,100.0,1.0,
DSR-PUNE-361,PH039996,1,1,1,3,8,1,100.0,100.0,1.0,
DSR-ROM-216,PH086875,6,6,4,4,7,4,100.0,66.66666666666666,1.0,
DSR-SPT-KER-072,PH049604,5,4,0,1,10,0,0.0,0.0,0.0,
DSR-NE-275,CL004852,3,3,1,2,5,1,100.0,33.33333333333333,0.0,
DSR-GT-EUP-743,DS009931,2,1,1,3,5,1,100.0,100.0,1.0,
DSR-KER-293,DS017869,4,4,2,5,7,2,100.0,50.0,0.0,
DSR-GUJ-120,PH110774,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-MUM-255,PH053701,21,10,4,4,7,3,75.0,40.0,1.0,
DSR-CMN-KER-741,PS007214,13,4,0,4,10,0,0.0,0.0,0.0,
FSA-SPT-GUJ-071,PS005302,16,2,2,4,11,1,50.0,100.0,1.0,
DSR-ROM-178,BR000512,6,1,0,4,6,0,0.0,0.0,1.0,
DSR-SPT-JK-520,PS014921,3,2,1,1,5,1,100.0,50.0,1.0,
DSR-CMN-KER-770,PH059303,6,6,3,5,7,3,100.0,50.0,0.0,
FSA-SPT-NCR-085,CL000459,1,1,1,5,5,1,100.0,100.0,1.0,
DSR-GT-TNUC-677,DS011234,7,4,2,3,8,2,100.0,50.0,1.0,
DSR-CHN-162,PH107052,5,4,1,4,5,1,100.0,25.0,1.0,
DSR-PUNJ-190,PH050602,3,3,3,4,5,3,100.0,100.0,1.0,
DSR-KER-391,TS000096,6,6,3,3,8,3,100.0,50.0,1.0,
DSR-MPC-371,PH115094,1,1,1,2,3,1,100.0,100.0,1.0,
DSR-MUM-132,PH076002,8,7,5,5,18,5,100.0,71.42857142857143,1.0,
DSR-MUM-129,PH052077,4,2,1,4,5,0,0.0,50.0,0.0,
DSR-CMN-PUNJ-822,DS007177,5,5,5,5,5,5,100.0,100.0,1.0,
DSR-ROE-439,PS007844,2,1,1,1,5,0,0.0,100.0,1.0,
DSR-GUJ-122,PH084937,1,1,0,5,7,0,0.0,0.0,0.0,
DSR-MUM-127,PH064215,4,3,1,4,14,1,100.0,33.33333333333333,1.0,
DSR-UK-363,PS013300,3,2,1,3,6,1,100.0,50.0,1.0,
DSR-APUC-009,PH106243,5,5,4,4,5,4,100.0,80.0,1.0,
DSR-CMN-ROE-498,PH124953,2,2,1,2,2,0,0.0,50.0,1.0,
DSR-MUM-126,PH036880,11,4,1,4,9,0,0.0,25.0,0.0,
FSA-SPT-HYD-107,PS020045,20,8,1,4,14,1,100.0,12.5,0.0,
DSR-CMN-AP-471,PH083541,2,2,1,4,5,1,100.0,50.0,0.0,
DSR-PUNE-148,PH050418,4,4,4,4,6,4,100.0,100.0,1.0,
DSR-NCR-039,MGS005039,3,2,1,3,5,1,100.0,50.0,0.0,
DSR-PUNE-361,PH039915,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-CMN-KNUC-642,PS006584,3,3,3,4,9,3,100.0,100.0,1.0,
DSR-ROM-142,CL000308,7,3,1,3,6,1,100.0,33.33333333333333,0.0,
DSR-ROM-207,PH089757,1,1,1,2,4,1,100.0,100.0,1.0,
DSR-CMN-KER-620,PH055908,4,3,1,3,5,1,100.0,33.33333333333333,0.0,
DSR-ROM-423,WP002880,4,4,0,1,5,0,0.0,0.0,0.0,
DSR-KNUC-276,DS008214,8,4,4,5,5,4,100.0,100.0,1.0,
DSR-CMN-EUP-668,PH092019,1,1,1,1,3,0,0.0,100.0,1.0,
DSR-CMN-CHN-567,PS004345,1,1,0,3,5,0,0.0,0.0,0.0,
DSR-CMN-KER-624,DS021543,3,2,1,3,6,1,100.0,50.0,1.0,
DSR-NE-275,PH128895,3,3,1,2,5,1,100.0,33.33333333333333,0.0,
DSR-ROM-423,CL002031,5,4,1,4,20,1,100.0,25.0,1.0,
DSR-GT-WUP-661,DS003181,1,1,0,4,5,0,0.0,0.0,1.0,
DSR-GOA-153,TG014241,6,5,3,3,6,2,66.66666666666666,60.0,1.0,
DSR-CMN-KNUC-555,PH110682,1,1,1,4,13,1,100.0,100.0,1.0,
DSR-NCR-032,PH040330,3,2,0,4,13,0,0.0,0.0,0.0,
DSR-GT-NCR-504,PH090176,5,4,4,4,5,4,100.0,100.0,1.0,
DSR-CMN-KNUC-642,PH078389,2,1,1,2,2,1,100.0,100.0,1.0,
DSR-CMN-EUP-752,PH098422,1,1,0,0,10,0,0.0,0.0,1.0,
DSR-HYD-002,PM000348,6,4,2,5,10,2,100.0,50.0,1.0,
DSR-GT-PUNE-706,PH059567,2,2,1,4,12,1,100.0,50.0,1.0,
DSR-GT-NCR-503,PH060614,3,3,0,1,7,0,0.0,0.0,0.0,
DSR-APUC-353,PH115422,2,2,2,2,3,2,100.0,100.0,1.0,
DSR-CMN-ROM-773,PS014507,2,2,1,4,6,1,100.0,50.0,0.0,
DSR-UP-379,PH058319,2,1,1,0,10,0,0.0,100.0,1.0,
