LOGINID,OUTLETCODE,TOTAL_ORDERS,ORDERS_AND_(SALES_OR_RECOMMENDATION),TRENDING_IN_ORDERS,TRENDING_IN_RECOMMENDATIONS,TOTAL_RECOMMENDATIONS,MATCHED_TRENDING_RECOMMENDATIONS,PRINCE_RATIO,VANSHIKA_RATIO,HARSH_RATIO
DSR-KER-080,DS022453,2,1,1,5,6,1,100.0,100.0,1.0,
DSR-WUP-393,PH035030,1,1,1,1,5,1,100.0,100.0,1.0,
DSR-KNUC-305,PH041302,4,4,4,5,5,4,100.0,100.0,1.0,
DSR-SPT-JK-520,PS011922,6,3,1,4,10,1,100.0,33.33333333333333,0.0,
DSR-SPT-PUNE-506,PS007384,10,3,0,3,14,0,0.0,0.0,0.0,
DSR-MUM-130,PH043964,13,8,3,4,10,2,66.66666666666666,37.5,0.0,
DSR-GUJ-121,PH004381,5,3,0,3,5,0,0.0,0.0,0.0,
DSR-PUNE-148,PH003852,9,4,0,4,12,0,0.0,0.0,0.0,
DSR-GT-GOA-478,PH051753,3,2,0,3,9,0,0.0,0.0,0.0,
DSR-UP-383,PH121395,2,1,0,3,4,0,0.0,0.0,1.0,
DSR-MUM-130,PM001723,6,4,1,4,14,1,100.0,25.0,1.0,
DSR-GT-MUM-796,TS000361,7,4,2,5,5,2,100.0,50.0,1.0,
DSR-GT-GOA-712,TG017263,4,3,2,3,5,1,50.0,66.66666666666666,1.0,
DSR-CMN-KER-588,PH055035,4,3,0,5,5,0,0.0,0.0,1.0,
DSR-CMN-MPC-784,PH108017,2,2,2,2,5,2,100.0,100.0,1.0,
DSR-CMN-HP-787,PH108784,2,2,0,1,10,0,0.0,0.0,1.0,
FSA-CMN-MPC-106,PS000452,9,6,2,5,5,2,100.0,33.33333333333333,1.0,
DSR-GT-GOA-846,TG022729,2,1,1,1,15,0,0.0,100.0,1.0,
DSR-ROM-207,WP002260,6,6,2,5,6,2,100.0,33.33333333333333,1.0,
DSR-GT-PUNJ-726,DS001409,14,4,1,5,5,1,100.0,25.0,1.0,
DSR-MUM-127,PH030236,15,7,3,4,12,3,100.0,42.857142857142854,1.0,
DSR-PUNE-137,DS013890,4,4,1,4,5,1,100.0,25.0,1.0,
DSR-GT-UK-593,PH017801,2,2,0,5,5,0,0.0,0.0,1.0,
DSR-MPC-376,PH086196,2,2,0,1,5,0,0.0,0.0,0.0,
DSR-GT-HYD-651,WP002901,2,1,1,0,17,0,0.0,100.0,1.0,
DSR-SPT-BGLR-550,PS020929,3,2,0,0,7,0,0.0,0.0,1.0,
DSR-GT-MUM-683,PH128942,4,4,0,1,5,0,0.0,0.0,0.0,
DSR-ROM-329,PH078528,7,4,1,4,5,1,100.0,25.0,0.0,
DSR-NCR-163,TG001485,2,2,1,2,5,1,100.0,50.0,1.0,
DSR-PUNE-140,PH003933,7,7,3,4,5,2,66.66666666666666,42.857142857142854,0.0,
DSR-CHN-110,PH115671,11,5,2,2,5,2,100.0,40.0,1.0,
DSR-BGLR-084,PH107036,2,1,0,2,6,0,0.0,0.0,0.0,
DSR-SPT-BGLR-548,CL000049,3,3,0,1,13,0,0.0,0.0,0.0,
DSR-KER-352,PH092976,2,2,0,4,5,0,0.0,0.0,1.0,
DSR-GT-MUM-680,PH082223,4,4,3,3,5,2,66.66666666666666,75.0,1.0,
DSR-PUNE-148,PM000299,2,2,0,2,17,0,0.0,0.0,0.0,
DSR-NCR-039,PH037121,2,2,0,2,5,0,0.0,0.0,0.0,
DSR-APUC-353,PH096484,2,2,2,1,3,1,50.0,100.0,1.0,
DSR-CMN-EUP-737,PH085503,4,2,0,0,5,0,0.0,0.0,1.0,
DSR-MUM-126,DS000882,19,9,2,4,23,2,100.0,22.22222222222222,1.0,
DSR-CMN-PUNJ-822,PH066185,4,4,3,4,5,3,100.0,75.0,0.0,
DSR-CMN-KER-770,PH054788,7,7,2,4,14,1,50.0,28.57142857142857,0.0,
DSR-NE-275,PH055004,3,3,2,4,5,2,100.0,66.66666666666666,0.0,
DSR-GUJ-122,PH004593,2,2,0,5,5,0,0.0,0.0,1.0,
DSR-CMN-EUP-665,PH077023,3,3,2,5,5,2,100.0,66.66666666666666,1.0,
DSR-CMN-AP-472,PH107515,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-PUNJ-156,PH027457,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-KNUC-305,PH009795,4,4,3,4,5,3,100.0,75.0,0.0,
DSR-NE-275,DS022311,2,1,1,2,5,1,100.0,100.0,1.0,
DSR-NCR-039,DS001232,8,1,1,5,5,1,100.0,100.0,1.0,
DSR-APUC-218,PH035251,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-CMN-RAJ-713,PH105759,1,1,0,2,5,0,0.0,0.0,0.0,
DSR-NCR-032,PH041862,3,2,2,4,5,2,100.0,100.0,1.0,
DSR-PUNE-139,DS008884,1,1,1,4,11,1,100.0,100.0,1.0,
DSR-PUNE-148,PH003849,11,7,5,4,17,4,80.0,71.42857142857143,1.0,
DSR-CHN-114,PH026042,3,2,2,4,6,2,100.0,100.0,1.0,
DSR-CMN-PUNJ-370,CL003068,2,2,1,3,5,1,100.0,50.0,0.0,
FSA-SPT-MUM-105,PS010405,21,17,4,4,20,4,100.0,23.52941176470588,1.0,
DSR-NE-275,PH054667,2,2,1,3,5,1,100.0,50.0,0.0,
FSA-GT-HYD-009,DS010942,1,1,1,3,6,1,100.0,100.0,1.0,
DSR-CMN-PUNJ-788,PH067236,4,3,1,0,10,0,0.0,33.33333333333333,1.0,
DSR-E/UP-159,TG018665,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-GUJ-387,PH053078,1,1,0,5,5,0,0.0,0.0,1.0,
